Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
39.49195,5.4197483,66.05141,201435.53,0.039106242,0.005035721,0.020655233,-0.08454765,0.97114336,-0.02897201,-0.010506614,6.577892,0.29775953,0.033031486,-0.3123525,-0.11786062,1.0483505,0.111967884,0.06906862,0.05528864,-0.04993335,-0.11115537,0.9810559,0.02274916,-0.0010978989,0.017409487,-0.09388182,0.008491463,0.99623054,0.9828832,-1605.3408,104.515236,503.0191,692.29395,-1.0788803,712.90247,0.0027711622,4.79039,-29630.447,MITM-ARPSPOOFING
27.738464,7.080618,119.382034,5976.868,0.122035705,-0.03007252,-0.014006012,0.21932717,0.89848703,-0.0053323144,0.035079014,8.186367,-1.3253539,1.2999008,0.19632818,-0.122412235,0.8324348,-0.02656767,0.0051569752,0.015535113,-0.0061059278,-0.015319147,0.8674966,0.12499288,-0.015849585,-0.065733775,-0.009578987,-0.031355064,1.02889,1.0107676,3453.846,57.03304,127.2247,157.0967,64.7106,141.29309,0.0011004616,4.1907196,-13.360321,MITM-ARPSPOOFING
24.477535,8.383389,92.436874,1490.0203,0.012320847,-0.00021767989,0.037836716,0.2891658,0.7029884,0.0011431129,0.037621975,5.2618647,-0.46336138,-0.10637111,0.17387089,-0.008830846,0.47457796,0.010644495,-0.005877833,0.0072397473,-0.0049991207,-0.010960017,0.6815935,0.28159016,-0.005012008,0.008904942,-0.03441891,-0.00395244,1.0526733,0.9889495,3122.4026,65.622444,407.94897,292.49097,138.63812,307.34473,0.0021270118,4.9466095,34248.926,MITM-ARPSPOOFING
25.583977,5.024528,125.8296,-4430.599,0.09391736,-0.008952573,0.19484493,0.34771514,0.8835049,0.01801116,0.021350786,13.632303,-0.2546465,3.0597992,4.250449,0.04972335,0.5483393,0.031643458,-0.0010210928,-0.024442839,0.016205251,-0.013454977,0.9007596,0.08444964,0.001527057,0.024218943,-0.05663141,-0.021490911,0.99395716,0.9741151,4576.14,58.33205,621.43896,198.78821,219.13797,161.07544,0.0020646055,16.559639,72748.31,MITM-ARPSPOOFING
30.685968,7.4044356,98.288605,3177.4966,0.03842443,-0.028202195,-0.02322771,0.40010545,0.9258337,-0.009222047,0.0032100547,9.624443,-1.2274222,0.9015354,-0.05043021,-0.2648783,1.0067549,0.02456325,-0.03173011,0.035530902,-0.017703364,0.0015938329,0.7742562,0.2022581,-0.0017650239,-0.029645558,-0.016723216,-0.039992727,1.0437655,1.0606636,4630.6924,72.36778,1587.9283,572.4647,619.11444,548.2975,0.001684011,-2.8920135,357530.22,MITM-ARPSPOOFING
26.265575,7.212867,90.608345,-5090.2866,-0.06582974,-0.00046405196,0.12312821,0.07551145,0.7817635,0.007154093,-0.03367533,8.115988,0.07842836,-0.036437184,4.6337814,-0.19251904,1.042777,0.021599215,-0.038226355,0.053781424,-0.044660933,-0.074162915,0.8632533,0.17514881,-0.0202774,0.038124636,-0.061630026,0.018797195,0.9559706,0.94147384,19437.707,58.59043,2530.7385,1106.4417,871.45844,1072.7637,0.0074555525,9.541695,663602.2,MITM-ARPSPOOFING
35.57761,5.4350166,108.535385,16821.42,0.1384031,0.18262725,0.008865224,0.22038011,0.9586697,0.04364439,0.008725982,11.169718,2.4116373,1.1947391,-0.0081705665,-0.17750709,1.092164,0.053024665,-0.11906081,0.074383564,-0.058309987,0.0023264112,0.86097217,-0.04465262,0.0034679566,0.13238789,-0.002280306,0.0960152,1.004428,1.0990212,6043.4736,58.185658,1721.225,634.18164,782.1169,433.62775,0.006538511,-12.644615,626113.56,MITM-ARPSPOOFING
24.002195,8.947411,149.3393,-258.0713,0.027882498,0.049010262,-0.008392177,0.2077819,0.64947504,-0.03685921,-0.0062624854,4.8539114,1.0218328,0.24053341,-0.106368884,-0.08895767,0.6018998,0.10778212,0.027849162,0.0024552923,-0.060671337,-0.03670941,0.64436495,0.33573171,0.020168044,-0.029809661,-0.04210864,0.010595395,1.038091,1.0440392,-1811.8564,66.21562,522.46655,277.15082,196.90619,253.57538,0.0026716564,4.0893555,58843.477,MITM-ARPSPOOFING
33.900085,5.3572054,63.713253,6910.3623,0.016072748,0.13974816,-0.0032351376,0.2489008,0.870483,0.013123535,0.0275148,8.441123,1.0055755,-0.11981158,-0.16569494,0.1425575,0.61561984,0.027637223,-0.0047601014,-0.025735795,0.0046237465,0.013660558,1.0271943,-0.035284165,0.0077431784,-0.0020094286,-0.03660463,0.03615621,0.9981142,0.9864001,18.439453,64.245705,1292.8994,429.6488,549.28107,453.45322,6.056414e-05,11.205139,381401.34,MITM-ARPSPOOFING
22.653395,10.707915,110.32126,7278.972,0.06073961,0.00015941635,0.045721713,0.060374953,0.58632916,0.016218381,0.027133439,4.847687,-0.13327534,0.32380864,-0.06572702,-0.022447336,0.5453593,0.045998167,-0.0065877335,-0.025855541,-0.021610547,-0.045552813,0.5728741,0.38032946,-0.018376306,0.023971105,-0.0012825988,0.009566591,1.0521665,1.012202,2842.0874,65.90753,336.02832,397.327,134.94594,372.27286,0.0016825642,9.077286,27474.348,MITM-ARPSPOOFING
